City,Country,Climate-related hazards (ORIGINAL),Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Los Angeles,United States of America,Urban flooding,Urban flooding,Medium,Medium High,Increasing,Increasing,3819538,"34.0522, -118.244 "
Madrid,Spain,Biodiversity loss,Biodiversity loss,Medium High,Medium High,Increasing,Increasing,3305408,"40.1076, -3.38756 "
Madrid,Spain,Drought,Drought,Medium High,Medium,Increasing,Increasing,3305408,"40.1076, -3.38756 "
Madrid,Spain,Extreme heat,Extreme heat,High,High,Increasing,Increasing,3305408,"40.1076, -3.38756 "
Madrid,Spain,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,3305408,"40.1076, -3.38756 "
Medellin,Colombia,Extreme heat,Extreme heat,Medium,Medium,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Fire weather (risk of wildfires),Fire weather (risk of wildfires),Medium High,Medium High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Heavy precipitation,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Infectious disease,Infectious disease,Medium,Medium,Increasing,Decreasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Mass movement,Mass movement,High,High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Urban flooding,Urban flooding,High,High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Melbourne,Australia,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,169860,"-37.8144, 144.967 "
Melbourne,Australia,Drought,Drought,High,High,Increasing,No Data,169860,"-37.8144, 144.967 "
Melbourne,Australia,Extreme heat,Extreme heat,High,High,Increasing,Increasing,169860,"-37.8144, 144.967 "
Melbourne,Australia,Heavy precipitation,Heavy precipitation,High,High,Increasing,No Data,169860,"-37.8144, 144.967 "
Melbourne,Australia,Urban flooding,Urban flooding,High,High,Increasing,No Data,169860,"-37.8144, 144.967 "
Mexico City,Mexico,Air pollution,Air pollution,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Biodiversity loss,Biodiversity loss,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Extreme wind,Extreme wind,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Fire weather (risk of wildfires),Fire weather (risk of wildfires),High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
Mexico City,Mexico,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,9041395,"19.4326, -99.1332 "
